#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
3.500000000000000000e+01	1.448572720665921310e+01	nan	-6.277000000000000313e+01	nan	2.573799197581314036e-01	nan	9.007121727545832623e-01	nan	3.819205218666802182e+01	nan	3.500000000000000000e+01	nan	1.982022746605688612e-01	2.000000000000000111e-01	8.996146230442091385e-01	5.431137418778315788e-03	3.500000000000000000e+01	2.000000000000000111e-01	3.176775974631679822e-01	nan	inf	nan
3.600000000000000000e+01	1.763357272043027280e+01	nan	-6.277000000000000313e+01	nan	2.317901480635850830e-01	nan	8.976784470802727789e-01	nan	3.928325367771567755e+01	nan	3.600000000000000000e+01	nan	1.784374462139141360e-01	2.000000000000000111e-01	8.965538006210461708e-01	5.584127205222775767e-03	3.600000000000000000e+01	2.000000000000000111e-01	2.827079078291108161e-01	nan	inf	nan
3.700000000000000000e+01	2.117079248792426682e+01	nan	-6.277000000000000313e+01	nan	3.270301683202400667e-01	nan	8.946401582489412752e-01	nan	4.037445516876333329e+01	nan	3.700000000000000000e+01	nan	2.516622972280106452e-01	2.000000000000000111e-01	8.934886301027268329e-01	5.737116991667234878e-03	3.700000000000000000e+01	2.000000000000000111e-01	3.965765117427278441e-01	nan	inf	nan
3.800000000000000000e+01	2.369237399966224444e+01	nan	-6.277000000000000313e+01	nan	3.026437256880901150e-01	nan	8.915900658002944290e-01	nan	4.146565665981099613e+01	nan	3.800000000000000000e+01	nan	2.328345460240757725e-01	2.000000000000000111e-01	8.904118810556111985e-01	5.890106778111694856e-03	3.800000000000000000e+01	2.000000000000000111e-01	3.609821261542348614e-01	nan	inf	nan
3.900000000000000000e+01	2.646259426140654369e+01	nan	-6.277000000000000313e+01	nan	1.763545155672240627e-01	nan	8.885352233248249298e-01	nan	4.255685815085865187e+01	nan	3.900000000000000000e+01	nan	1.356364437238056775e-01	2.000000000000000111e-01	8.873305987111564930e-01	6.043096564556153967e-03	3.900000000000000000e+01	2.000000000000000111e-01	2.100850663634855064e-01	nan	inf	nan
4.000000000000000000e+01	3.122257086188425745e+01	nan	-6.277000000000000313e+01	nan	2.926382403064763382e-01	nan	8.854803448753369999e-01	nan	4.364805964190630760e+01	nan	4.000000000000000000e+01	nan	2.249595477858220283e-01	2.000000000000000111e-01	8.842494910473850389e-01	6.196086351000613945e-03	4.000000000000000000e+01	2.000000000000000111e-01	3.439700857315313720e-01	nan	inf	nan
4.100000000000000000e+01	3.412980041899319161e+01	nan	-6.277000000000000313e+01	nan	2.554391561649569375e-01	nan	8.824273485441167519e-01	nan	4.473926113295397045e+01	nan	4.100000000000000000e+01	nan	1.963037291739436752e-01	2.000000000000000111e-01	8.811704734174402587e-01	6.349076137445073056e-03	4.100000000000000000e+01	2.000000000000000111e-01	3.002391069961681258e-01	nan	inf	nan
4.200000000000000000e+01	3.746047912372555544e+01	nan	-6.277000000000000313e+01	nan	3.941211301630967445e-01	nan	8.793738223899901785e-01	nan	4.583046262400162618e+01	nan	4.200000000000000000e+01	nan	3.027744377519051011e-01	2.000000000000000111e-01	8.780911371938083798e-01	6.502065923889533035e-03	4.200000000000000000e+01	2.000000000000000111e-01	4.564013889266636537e-01	nan	inf	nan
4.300000000000000000e+01	3.965153292913078786e+01	nan	-6.277000000000000313e+01	nan	2.396160878984804066e-01	nan	8.763185640754979078e-01	nan	4.692166411504928192e+01	nan	4.300000000000000000e+01	nan	1.840372344765394130e-01	2.000000000000000111e-01	8.750102818777222291e-01	6.655055710333992146e-03	4.300000000000000000e+01	2.000000000000000111e-01	2.772471049038913171e-01	nan	inf	nan
4.400000000000000000e+01	4.325842361369412714e+01	nan	-6.277000000000000313e+01	nan	3.571394260225513317e-01	nan	8.732587721846563067e-01	nan	4.801286560609693765e+01	nan	4.400000000000000000e+01	nan	2.741973488536345038e-01	2.000000000000000111e-01	8.719251104989701462e-01	6.808045496778452124e-03	4.400000000000000000e+01	2.000000000000000111e-01	4.064181614819170063e-01	nan	inf	nan
